counter,time,sopr max rate,sopr aver rate,prefecber,esnrmin,esnrmax,esnraver,dgdmin,dgdmax,dgdaver,csrmin,csrmax,csraver
0,20:15:44,681.2,115.6,4.47E-04,17.16,17.23,17.19,0.1,6.3,2.5,0.00E+00,7.15E-09,4.24E-11
1,20:15:45,681.2,104.8,4.57E-04,17.17,17.18,17.17,2.7,2.7,2.7,0.00E+00,0.00E+00,0.00E+00
7,20:15:48,681.2,102.4,4.57E-04,17.17,17.20,17.17,2.2,2.6,2.4,0.00E+00,0.00E+00,0.00E+00
9,20:15:49,681.2,118.6,4.57E-04,17.17,17.18,17.17,2.0,2.0,2.0,0.00E+00,0.00E+00,0.00E+00
12,20:15:51,681.2,94.2,4.47E-04,17.17,17.19,17.18,3.4,3.4,3.4,0.00E+00,0.00E+00,0.00E+00
13,20:15:52,681.2,117.6,4.57E-04,17.18,17.18,17.18,0.8,0.8,0.8,0.00E+00,0.00E+00,0.00E+00
16,20:15:54,681.2,105.8,4.68E-04,17.15,17.18,17.16,2.3,2.4,2.3,0.00E+00,0.00E+00,0.00E+00
20,20:15:57,681.2,94.8,4.47E-04,17.15,17.21,17.18,0.1,0.1,0.1,0.00E+00,0.00E+00,0.00E+00
21,20:15:57,681.2,101.4,4.47E-04,17.21,17.21,17.21,1.2,1.2,1.2,0.00E+00,0.00E+00,0.00E+00
24,20:15:59,681.2,102.5,4.47E-04,17.18,17.21,17.18,2.8,3.6,3.2,0.00E+00,0.00E+00,0.00E+00
26,20:16:01,681.2,95.2,4.47E-04,17.19,17.20,17.19,2.7,2.7,2.7,0.00E+00,0.00E+00,0.00E+00
27,20:16:01,681.2,104.4,4.47E-04,17.19,17.20,17.19,0.2,0.2,0.2,0.00E+00,0.00E+00,0.00E+00
30,20:16:03,681.2,120.9,4.47E-04,17.19,17.19,17.19,2.8,3.2,3.0,0.00E+00,0.00E+00,0.00E+00
31,20:16:04,681.2,126.2,4.37E-04,17.19,17.20,17.19,5.2,5.2,5.2,0.00E+00,0.00E+00,0.00E+00
33,20:16:06,681.2,97.2,4.47E-04,17.19,17.20,17.19,3.2,3.2,3.2,0.00E+00,0.00E+00,0.00E+00
35,20:16:07,96.6,96.6,4.47E-04,17.19,17.19,17.19,1.6,1.6,1.6,0.00E+00,0.00E+00,0.00E+00
36,20:16:08,681.2,113.6,4.47E-04,17.19,17.19,17.19,0.8,0.8,0.8,0.00E+00,0.00E+00,0.00E+00
39,20:16:10,681.2,118.0,4.37E-04,17.19,17.21,17.20,1.6,1.6,1.6,0.00E+00,0.00E+00,0.00E+00
40,20:16:10,681.2,116.2,4.37E-04,17.21,17.21,17.21,2.8,2.8,2.8,0.00E+00,0.00E+00,0.00E+00
43,20:16:12,681.2,138.8,4.47E-04,17.19,17.21,17.19,1.8,2.1,1.9,0.00E+00,0.00E+00,0.00E+00
47,20:16:15,681.2,117.6,4.37E-04,17.18,17.22,17.19,1.9,1.9,1.9,0.00E+00,6.66E-09,3.03E-10
48,20:16:16,681.2,137.4,4.37E-04,17.22,17.22,17.22,0.8,0.8,0.8,0.00E+00,0.00E+00,0.00E+00
50,20:16:17,681.2,119.0,4.47E-04,17.20,17.22,17.21,2.0,2.0,2.0,0.00E+00,0.00E+00,0.00E+00
52,20:16:18,681.2,125.8,4.37E-04,17.20,17.20,17.20,0.9,0.9,0.9,0.00E+00,0.00E+00,0.00E+00
54,20:16:20,681.2,124.2,4.47E-04,17.20,17.23,17.22,0.4,0.4,0.4,0.00E+00,0.00E+00,0.00E+00
55,20:16:21,681.2,153.8,4.47E-04,17.20,17.20,17.20,4.1,4.1,4.1,0.00E+00,0.00E+00,0.00E+00
56,20:16:21,681.2,86.4,4.47E-04,17.19,17.20,17.19,2.4,2.4,2.4,0.00E+00,0.00E+00,0.00E+00
60,20:16:24,681.2,109.8,4.37E-04,17.19,17.21,17.20,4.5,4.5,4.5,0.00E+00,0.00E+00,0.00E+00
62,20:16:26,681.2,117.2,4.37E-04,17.20,17.21,17.20,1.5,3.5,2.5,0.00E+00,0.00E+00,0.00E+00
69,20:16:30,158.2,136.7,4.37E-04,17.21,17.21,17.21,2.7,2.9,2.8,0.00E+00,0.00E+00,0.00E+00
71,20:16:32,681.2,110.0,4.47E-04,17.19,17.21,17.19,0.4,0.4,0.4,0.00E+00,0.00E+00,0.00E+00
73,20:16:33,39.2,39.2,4.47E-04,17.20,17.20,17.20,1.9,1.9,1.9,0.00E+00,0.00E+00,0.00E+00
77,20:16:36,681.2,106.6,4.47E-04,17.20,17.20,17.20,1.9,1.9,1.9,0.00E+00,0.00E+00,0.00E+00
78,20:16:36,681.2,116.0,4.47E-04,17.20,17.20,17.20,2.4,2.4,2.4,0.00E+00,0.00E+00,0.00E+00
80,20:16:38,681.2,119.6,4.37E-04,17.20,17.22,17.21,2.8,2.8,2.8,0.00E+00,0.00E+00,0.00E+00
81,20:16:39,681.2,109.4,4.37E-04,17.20,17.20,17.20,3.5,3.5,3.5,0.00E+00,0.00E+00,0.00E+00
84,20:16:40,681.2,109.6,4.37E-04,17.19,17.21,17.20,0.2,0.2,0.2,0.00E+00,0.00E+00,0.00E+00
85,20:16:41,681.2,113.2,4.27E-04,17.22,17.22,17.22,3.2,3.2,3.2,0.00E+00,0.00E+00,0.00E+00
88,20:16:43,681.2,135.6,4.37E-04,17.21,17.22,17.21,2.5,3.6,3.0,0.00E+00,0.00E+00,0.00E+00
90,20:16:45,681.2,84.8,4.47E-04,17.20,17.22,17.20,4.2,4.2,4.2,0.00E+00,0.00E+00,0.00E+00
92,20:16:46,681.2,109.0,4.47E-04,17.20,17.21,17.20,1.4,1.4,1.4,0.00E+00,0.00E+00,0.00E+00
98,20:16:49,681.2,114.4,4.27E-04,17.21,17.22,17.21,2.1,2.1,2.1,0.00E+00,0.00E+00,0.00E+00
99,20:16:50,681.2,141.8,4.37E-04,17.21,17.21,17.21,4.1,4.1,4.1,0.00E+00,0.00E+00,0.00E+00
101,20:16:52,681.2,116.8,4.37E-04,17.21,17.21,17.21,0.6,0.6,0.6,0.00E+00,0.00E+00,0.00E+00
104,20:16:54,681.2,127.8,4.47E-04,17.20,17.21,17.20,2.5,2.5,2.5,0.00E+00,0.00E+00,0.00E+00
105,20:16:54,681.2,124.6,4.47E-04,17.19,17.20,17.19,3.8,3.8,3.8,0.00E+00,0.00E+00,0.00E+00
107,20:16:56,681.2,114.4,4.37E-04,17.19,17.21,17.20,0.5,0.5,0.5,0.00E+00,0.00E+00,0.00E+00
108,20:16:57,681.2,147.6,4.37E-04,17.21,17.21,17.21,3.7,3.7,3.7,0.00E+00,0.00E+00,0.00E+00
111,20:16:58,681.2,131.8,4.47E-04,17.19,17.21,17.19,1.7,1.7,1.7,0.00E+00,0.00E+00,0.00E+00
112,20:16:59,681.2,121.4,4.47E-04,17.20,17.20,17.20,2.9,2.9,2.9,0.00E+00,0.00E+00,0.00E+00
115,20:17:01,681.2,126.3,4.47E-04,17.20,17.20,17.20,2.9,3.3,3.1,0.00E+00,0.00E+00,0.00E+00
119,20:17:04,681.2,128.6,4.47E-04,17.19,17.20,17.19,2.9,2.9,2.9,0.00E+00,0.00E+00,0.00E+00
120,20:17:04,681.2,111.8,4.47E-04,17.19,17.19,17.19,3.6,3.6,3.6,0.00E+00,0.00E+00,0.00E+00
123,20:17:06,681.2,131.3,4.47E-04,17.18,17.19,17.18,1.8,2.0,1.9,0.00E+00,0.00E+00,0.00E+00
127,20:17:09,681.2,106.2,4.57E-04,17.18,17.20,17.18,3.1,3.1,3.1,0.00E+00,0.00E+00,0.00E+00
128,20:17:10,681.2,80.0,4.57E-04,17.18,17.18,17.18,1.0,1.0,1.0,0.00E+00,0.00E+00,0.00E+00
131,20:17:12,681.2,101.1,4.57E-04,17.18,17.19,17.18,0.1,2.5,1.3,0.00E+00,0.00E+00,0.00E+00
132,20:17:12,681.2,110.0,4.57E-04,17.16,17.19,17.16,2.2,2.2,2.2,0.00E+00,0.00E+00,0.00E+00
135,20:17:14,681.2,122.1,4.47E-04,17.16,17.19,17.18,0.1,0.6,0.3,0.00E+00,0.00E+00,0.00E+00
137,20:17:16,681.2,121.0,4.47E-04,17.19,17.19,17.19,1.7,1.7,1.7,0.00E+00,0.00E+00,0.00E+00
138,20:17:16,681.2,111.4,4.57E-04,17.18,17.19,17.18,2.9,2.9,2.9,0.00E+00,0.00E+00,0.00E+00
140,20:17:18,681.2,94.6,4.47E-04,17.16,17.19,17.16,1.2,1.2,1.2,0.00E+00,0.00E+00,0.00E+00
141,20:17:19,681.2,113.2,4.47E-04,17.19,17.19,17.19,2.7,2.7,2.7,0.00E+00,0.00E+00,0.00E+00
144,20:17:21,681.2,126.6,4.57E-04,17.19,17.20,17.19,2.2,2.2,2.2,0.00E+00,0.00E+00,0.00E+00
145,20:17:21,681.2,117.6,4.57E-04,17.17,17.17,17.17,3.1,3.1,3.1,0.00E+00,0.00E+00,0.00E+00
147,20:17:23,681.2,130.8,4.47E-04,17.17,17.18,17.17,3.8,3.8,3.8,0.00E+00,0.00E+00,0.00E+00
149,20:17:24,681.2,116.0,4.47E-04,17.18,17.21,17.20,2.4,3.9,3.1,0.00E+00,0.00E+00,0.00E+00
151,20:17:25,681.2,119.0,4.68E-04,17.17,17.19,17.17,0.2,0.2,0.2,0.00E+00,0.00E+00,0.00E+00
157,20:17:29,681.2,116.4,4.47E-04,17.17,17.20,17.18,3.8,3.8,3.8,0.00E+00,0.00E+00,0.00E+00
160,20:17:31,70.8,70.8,4.68E-04,17.16,17.16,17.16,1.2,1.2,1.2,0.00E+00,0.00E+00,0.00E+00
161,20:17:32,681.2,131.0,4.68E-04,17.16,17.16,17.16,2.3,2.3,2.3,0.00E+00,0.00E+00,0.00E+00
164,20:17:34,681.2,117.0,4.37E-04,17.16,17.22,17.19,0.8,0.8,0.8,0.00E+00,0.00E+00,0.00E+00
165,20:17:34,681.2,129.2,4.57E-04,17.18,17.22,17.18,1.6,1.6,1.6,0.00E+00,0.00E+00,0.00E+00
167,20:17:36,681.2,112.4,4.57E-04,17.17,17.18,17.17,2.3,2.3,2.3,0.00E+00,0.00E+00,0.00E+00
168,20:17:37,681.2,129.4,4.57E-04,17.18,17.18,17.18,3.8,3.8,3.8,0.00E+00,0.00E+00,0.00E+00
171,20:17:38,681.2,121.0,4.57E-04,17.16,17.18,17.17,3.2,3.2,3.2,0.00E+00,0.00E+00,0.00E+00
172,20:17:39,681.2,94.4,4.68E-04,17.16,17.16,17.16,0.6,0.6,0.6,0.00E+00,0.00E+00,0.00E+00
175,20:17:41,681.2,136.0,4.57E-04,17.16,17.18,17.17,1.2,1.7,1.4,0.00E+00,0.00E+00,0.00E+00
178,20:17:43,681.2,120.6,4.47E-04,17.17,17.19,17.17,0.4,0.4,0.4,0.00E+00,0.00E+00,0.00E+00
179,20:17:44,681.2,109.8,4.47E-04,17.19,17.19,17.19,3.9,3.9,3.9,0.00E+00,0.00E+00,0.00E+00
182,20:17:46,681.2,127.2,4.37E-04,17.18,17.22,17.20,3.1,4.2,3.6,0.00E+00,0.00E+00,0.00E+00
189,20:17:50,681.2,101.0,4.37E-04,17.20,17.22,17.21,3.9,4.2,4.0,0.00E+00,6.87E-09,9.29E-11
191,20:17:52,681.2,127.4,4.37E-04,17.21,17.21,17.21,1.4,1.4,1.4,0.00E+00,0.00E+00,0.00E+00
192,20:17:52,681.2,116.2,4.27E-04,17.21,17.22,17.21,0.3,0.3,0.3,0.00E+00,0.00E+00,0.00E+00
194,20:17:54,681.2,115.0,4.37E-04,17.21,17.23,17.22,1.9,1.9,1.9,0.00E+00,0.00E+00,0.00E+00
195,20:17:55,681.2,111.4,4.37E-04,17.21,17.21,17.21,1.9,1.9,1.9,0.00E+00,0.00E+00,0.00E+00
198,20:17:57,681.2,107.4,4.27E-04,17.21,17.23,17.22,4.0,4.0,4.0,0.00E+00,0.00E+00,0.00E+00
199,20:17:57,681.2,113.6,4.27E-04,17.22,17.22,17.22,3.0,3.0,3.0,0.00E+00,0.00E+00,0.00E+00
202,20:17:59,681.2,134.4,4.37E-04,17.20,17.22,17.20,1.5,3.9,2.7,0.00E+00,0.00E+00,0.00E+00
206,20:18:02,681.2,100.8,4.47E-04,17.20,17.23,17.21,3.3,3.3,3.3,0.00E+00,0.00E+00,0.00E+00
207,20:18:02,681.2,109.2,4.47E-04,17.20,17.20,17.20,3.0,3.0,3.0,0.00E+00,0.00E+00,0.00E+00
210,20:18:04,681.2,139.1,4.27E-04,17.20,17.22,17.21,1.6,2.4,2.0,0.00E+00,0.00E+00,0.00E+00
211,20:18:05,681.2,144.0,4.37E-04,17.22,17.22,17.22,1.5,1.5,1.5,0.00E+00,0.00E+00,0.00E+00
213,20:18:07,681.2,113.6,4.37E-04,17.22,17.22,17.22,1.2,1.2,1.2,0.00E+00,0.00E+00,0.00E+00
215,20:18:08,681.2,124.8,4.37E-04,17.20,17.22,17.20,0.1,0.1,0.1,0.00E+00,0.00E+00,0.00E+00
216,20:18:09,681.2,93.4,4.37E-04,17.21,17.21,17.21,2.7,2.7,2.7,0.00E+00,0.00E+00,0.00E+00
219,20:18:11,681.2,131.0,4.37E-04,17.21,17.22,17.21,0.2,0.2,0.2,0.00E+00,0.00E+00,0.00E+00
220,20:18:11,681.2,120.4,4.37E-04,17.22,17.22,17.22,1.6,1.6,1.6,0.00E+00,0.00E+00,0.00E+00
223,20:18:13,681.2,125.0,4.27E-04,17.22,17.22,17.22,0.7,1.3,1.0,0.00E+00,0.00E+00,0.00E+00
224,20:18:14,681.2,106.8,4.37E-04,17.22,17.22,17.22,2.2,2.2,2.2,0.00E+00,0.00E+00,0.00E+00
227,20:18:16,681.2,150.8,4.47E-04,17.19,17.22,17.20,3.9,3.9,3.9,0.00E+00,0.00E+00,0.00E+00
231,20:18:19,681.2,126.4,4.37E-04,17.19,17.21,17.19,3.6,3.6,3.6,0.00E+00,0.00E+00,0.00E+00
232,20:18:19,681.2,100.8,4.27E-04,17.21,17.22,17.21,3.7,3.7,3.7,0.00E+00,0.00E+00,0.00E+00
234,20:18:21,681.2,91.8,4.47E-04,17.19,17.22,17.21,1.8,1.8,1.8,0.00E+00,0.00E+00,0.00E+00
235,20:18:21,681.2,98.0,4.47E-04,17.19,17.19,17.19,4.1,4.1,4.1,0.00E+00,0.00E+00,0.00E+00
238,20:18:23,681.2,91.0,4.27E-04,17.19,17.23,17.21,2.0,2.0,2.0,0.00E+00,0.00E+00,0.00E+00
239,20:18:24,681.2,110.8,4.37E-04,17.22,17.22,17.22,2.4,2.4,2.4,0.00E+00,0.00E+00,0.00E+00
240,20:18:26,681.2,104.8,4.47E-04,17.20,17.22,17.20,3.2,3.2,3.2,0.00E+00,0.00E+00,0.00E+00
247,20:18:30,681.2,111.8,4.27E-04,17.20,17.22,17.21,3.5,3.5,3.5,0.00E+00,0.00E+00,0.00E+00
251,20:18:32,681.2,100.0,4.27E-04,17.21,17.22,17.21,0.6,0.6,0.6,0.00E+00,0.00E+00,0.00E+00
252,20:18:33,681.2,99.4,4.27E-04,17.22,17.23,17.22,2.6,2.6,2.6,0.00E+00,0.00E+00,0.00E+00
255,20:18:35,681.2,122.8,4.47E-04,17.20,17.23,17.20,1.2,1.2,1.2,0.00E+00,7.03E-09,4.69E-10
256,20:18:36,681.2,106.0,4.47E-04,17.20,17.20,17.20,6.2,6.2,6.2,0.00E+00,0.00E+00,0.00E+00
258,20:18:37,681.2,130.2,4.27E-04,17.20,17.23,17.21,0.1,0.1,0.1,0.00E+00,0.00E+00,0.00E+00
260,20:18:39,681.2,129.2,4.37E-04,17.22,17.22,17.22,3.9,3.9,3.9,0.00E+00,0.00E+00,0.00E+00
262,20:18:40,681.2,113.6,4.47E-04,17.19,17.22,17.19,1.9,1.9,1.9,0.00E+00,0.00E+00,0.00E+00
263,20:18:41,681.2,144.6,4.47E-04,17.19,17.19,17.19,4.1,4.1,4.1,0.00E+00,0.00E+00,0.00E+00
266,20:18:43,681.2,118.4,4.37E-04,17.19,17.22,17.21,2.9,2.9,2.9,0.00E+00,0.00E+00,0.00E+00
267,20:18:44,681.2,104.0,4.47E-04,17.20,17.20,17.20,3.3,3.3,3.3,0.00E+00,0.00E+00,0.00E+00
270,20:18:45,681.2,113.2,4.37E-04,17.18,17.20,17.18,0.6,0.6,0.6,0.00E+00,0.00E+00,0.00E+00
276,20:18:49,681.2,114.6,4.47E-04,17.20,17.22,17.20,0.8,2.4,1.6,0.00E+00,0.00E+00,0.00E+00
278,20:18:50,681.2,105.0,4.37E-04,17.20,17.20,17.20,1.5,1.5,1.5,0.00E+00,0.00E+00,0.00E+00
279,20:18:51,681.2,126.6,4.27E-04,17.20,17.22,17.21,4.6,4.6,4.6,0.00E+00,0.00E+00,0.00E+00
281,20:18:53,681.2,91.4,4.37E-04,17.22,17.23,17.22,2.1,2.1,2.1,0.00E+00,0.00E+00,0.00E+00
283,20:18:54,681.2,103.4,4.47E-04,17.19,17.23,17.19,3.9,3.9,3.9,0.00E+00,0.00E+00,0.00E+00
284,20:18:55,681.2,111.8,4.47E-04,17.19,17.19,17.19,4.2,4.2,4.2,0.00E+00,0.00E+00,0.00E+00
285,20:18:56,681.2,125.6,4.37E-04,17.19,17.21,17.20,3.2,3.2,3.2,0.00E+00,0.00E+00,0.00E+00
286,20:18:56,681.2,114.2,4.37E-04,17.21,17.22,17.21,3.7,3.7,3.7,0.00E+00,6.94E-09,6.94E-10
287,20:18:57,681.2,127.0,4.37E-04,17.21,17.22,17.21,1.2,1.2,1.2,0.00E+00,0.00E+00,0.00E+00
290,20:18:59,119.4,106.4,4.27E-04,17.22,17.22,17.22,2.0,3.7,2.8,0.00E+00,0.00E+00,0.00E+00
292,20:19:01,681.2,121.6,4.37E-04,17.22,17.22,17.22,1.8,1.8,1.8,0.00E+00,0.00E+00,0.00E+00
293,20:19:01,681.2,134.2,4.37E-04,17.21,17.22,17.21,0.5,0.5,0.5,0.00E+00,0.00E+00,0.00E+00
295,20:19:03,681.2,113.4,4.47E-04,17.19,17.21,17.19,3.5,3.5,3.5,0.00E+00,0.00E+00,0.00E+00
297,20:19:04,681.2,112.4,4.47E-04,17.19,17.20,17.19,4.2,4.2,4.2,0.00E+00,0.00E+00,0.00E+00
299,20:19:05,681.2,122.0,4.47E-04,17.19,17.20,17.19,2.9,2.9,2.9,0.00E+00,0.00E+00,0.00E+00
300,20:19:06,681.2,127.6,4.47E-04,17.19,17.21,17.20,3.1,3.1,3.1,0.00E+00,0.00E+00,0.00E+00
303,20:19:08,681.2,143.5,4.47E-04,17.17,17.21,17.17,1.0,2.1,1.5,0.00E+00,0.00E+00,0.00E+00
305,20:19:10,681.2,128.8,4.27E-04,17.17,17.23,17.22,3.4,3.4,3.4,0.00E+00,0.00E+00,0.00E+00
306,20:19:10,681.2,131.6,4.37E-04,17.21,17.23,17.21,5.1,5.1,5.1,0.00E+00,0.00E+00,0.00E+00
307,20:19:11,681.2,110.0,4.57E-04,17.19,17.21,17.19,1.2,1.2,1.2,0.00E+00,0.00E+00,0.00E+00
310,20:19:13,681.2,93.2,4.47E-04,17.18,17.19,17.18,2.1,2.6,2.3,0.00E+00,0.00E+00,0.00E+00
312,20:19:14,681.2,131.4,4.37E-04,17.19,17.21,17.20,3.2,3.2,3.2,0.00E+00,0.00E+00,0.00E+00
313,20:19:15,681.2,147.6,4.57E-04,17.19,17.21,17.19,4.9,4.9,4.9,0.00E+00,0.00E+00,0.00E+00
315,20:19:17,681.2,120.6,4.47E-04,17.19,17.19,17.19,2.9,2.9,2.9,0.00E+00,6.81E-09,6.81E-10
318,20:19:19,681.2,146.9,4.27E-04,17.19,17.23,17.22,1.4,3.5,2.4,0.00E+00,0.00E+00,0.00E+00
319,20:19:19,681.2,101.2,4.37E-04,17.22,17.23,17.22,2.0,2.0,2.0,0.00E+00,0.00E+00,0.00E+00
320,20:19:20,681.2,135.2,4.37E-04,17.21,17.22,17.21,1.1,1.1,1.1,0.00E+00,0.00E+00,0.00E+00
322,20:19:22,681.2,114.0,4.37E-04,17.21,17.21,17.21,1.5,1.5,1.5,0.00E+00,0.00E+00,0.00E+00
325,20:19:23,681.2,117.8,4.27E-04,17.21,17.22,17.21,0.8,0.8,0.8,0.00E+00,0.00E+00,0.00E+00
326,20:19:24,681.2,126.4,4.27E-04,17.22,17.23,17.22,2.7,2.7,2.7,0.00E+00,0.00E+00,0.00E+00
328,20:19:26,681.2,109.6,4.47E-04,17.20,17.23,17.20,1.5,1.5,1.5,0.00E+00,0.00E+00,0.00E+00
334,20:19:29,681.2,101.1,4.47E-04,17.19,17.22,17.20,1.4,2.6,2.0,0.00E+00,0.00E+00,0.00E+00
337,20:19:31,681.2,113.1,4.47E-04,17.19,17.20,17.19,0.2,2.2,1.2,0.00E+00,0.00E+00,0.00E+00
339,20:19:33,681.2,104.2,4.37E-04,17.19,17.21,17.20,2.5,2.5,2.5,0.00E+00,0.00E+00,0.00E+00
340,20:19:33,681.2,116.4,4.37E-04,17.21,17.21,17.21,3.8,3.8,3.8,0.00E+00,0.00E+00,0.00E+00
341,20:19:34,681.2,87.2,4.47E-04,17.21,17.21,17.21,1.9,1.9,1.9,0.00E+00,0.00E+00,0.00E+00
344,20:19:36,681.2,125.4,4.37E-04,17.20,17.22,17.21,2.6,4.4,3.5,0.00E+00,0.00E+00,0.00E+00
346,20:19:37,681.2,107.2,4.47E-04,17.20,17.22,17.20,2.7,2.7,2.7,0.00E+00,0.00E+00,0.00E+00
347,20:19:38,681.2,119.4,4.47E-04,17.19,17.20,17.19,1.7,1.7,1.7,0.00E+00,0.00E+00,0.00E+00
349,20:19:40,681.2,118.0,4.57E-04,17.19,17.19,17.19,4.2,4.2,4.2,0.00E+00,0.00E+00,0.00E+00
351,20:19:41,681.2,105.2,4.37E-04,17.19,17.21,17.20,4.6,4.6,4.6,0.00E+00,0.00E+00,0.00E+00
353,20:19:42,681.2,110.6,4.47E-04,17.20,17.21,17.20,1.6,1.6,1.6,0.00E+00,0.00E+00,0.00E+00
